lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,pgout,ppgout,pgfree,pgscan,atch,pgin,ppgin,pflt,vflt,runqsz,freemem,freeswap,usr
3,0,1455,139,86,0.6,0.6,36191,23316,0,0,0,0,0,4.2,6.8,44.4,54,650,94,6,0
5,0,2877,102,83,0.2,0.2,70516,4055,0.6,0.6,0.6,0,0,5,14,21.8,118.8,2.2,649,1412344,92
6,2,1746,176,39,0.4,0.6,53078,35289,0,0,0,0,0,0,0,30.2,84,1.4,6830,1826608,95
5,2,3380,361,186,2.4,1.2,162994,58649,3.79,4.39,4.39,0,4.19,2,2.4,133.93,305.59,1,331,972947,83
45,55,2712,123,120,2.4,2.6,126075,194040,2,2.2,2.2,0,0.4,29.8,38.6,128.4,260.6,1.5,357,990066,81
47,17,2625,340,251,1.6,1,87682,214358,3,17.2,37,310.6,1,13.4,22.2,98,186.6,1,121,1102846,86
1,0,572,67,50,0.2,0.2,34560,9750,0,0,0,0,0,1,1.4,16,18.6,2.2,1347,1713429,97
23,7,3369,551,347,3.79,2.2,86636,45185,0,0,0,0,0.2,19.76,24.35,200.4,360.48,2.2,2732,973673,80
3,1,487,46,41,2,2,76727,82479,0,0,0,0,0,1.8,1.8,188.6,160.2,1.2,6294,1850770,89
30,26,1993,185,160,1.2,1.2,529293,226883,18.16,33.33,34.33,7.39,3.19,27.15,28.74,118.16,218.36,2,181,1079669,82
18,3,3518,445,311,4.6,5,350475,143998,7.4,30.2,52.4,61.4,0.8,22.8,25.8,285,554.6,4.6,185,1291466,75
16,4,2715,244,137,1.6,1.8,347384,46348,4,11.2,23.4,52.8,3,12.2,33.6,162.6,281.4,1,284,1019566,82
1,0,419,23,15,1.4,8.4,54345,15243,0,0,0,0,0,0,0,100.6,111,2.8,3716,1821034,96
11,4,3632,313,124,7.4,18.2,233748,21962,0,0,0,0,0,10.6,14.4,286,518.6,5.4,428,1094683,72
23,36,3096,149,147,0.2,0.2,34328,42898,0,0,0,0,0,1.8,1.8,15.6,17,2.2,1189,1720062,94
43,10,1642,153,143,0.4,0.8,114798,271973,6,15.2,18,5,0.2,6.6,12.8,33,48.8,4.8,145,1597686,92
31,25,1942,182,124,1,1,345184,103592,0,0,0,0,0,26.4,32.6,54.6,291.8,3.2,9684,1373666,88
11,6,2975,303,137,1,2.61,53887,26547,0,0,0,0,0,0.8,1.6,71.34,101.4,3.7,808,1110774,89
26,16,3638,534,238,1.6,3.6,1071680,590668,0,0,0,0,55.2,45.8,85,151.8,449.8,1805,71,29,0
14,3,3117,457,400,5.21,2,143833,30140,1.8,2,2,0,0.2,1.2,1.2,266.13,374.15,3,291,969090,79
3,0,2254,107,88,0.6,2.2,206795,72088,0,0,0,0,0,0,0,88,76.8,3,990,1547120,95
0,0,224,27,24,0.2,0.2,593,5597,0,0,0,0,0,0,0,15.6,16.8,1.2,990,1761512,93
1,0,5670,199,126,0.2,0.2,13572,50962,1.2,1.4,1.8,0.4,0.2,1,1.2,13.2,43,1,128,1013904,94
55,66,1676,153,117,0.2,0.2,56689,68826,0,0,0,0,0,0.6,1,23.4,30.2,2.2,1976,1528355,92
0,0,175,13,19,0.2,0.2,6319,12731,0,0,0,0,0,0,0,15.77,16.77,1,8186,1865405,98
3,1,1299,258,126,0.4,0.4,194200,56983,0,0,0,0,0.2,0,0,43,118.8,3.2,967,1540414,94
22,20,1693,167,87,1.6,4.8,63293,33705,0,0,0,0,0,0.2,2.8,146.4,236,1.3,1682,1081171,90
0,0,799,42,28,0.2,0.2,1445,16223,0,0,0,0,0,0.4,0.6,15.77,20.16,1,691,1731210,95
3,1,510,48,85,2,2,166234,138252,0,0,0,0,0,12.57,24.15,182.63,167.47,2.4,5812,1842711,88
51,72,3680,234,179,0.6,1.2,176480,86286,0.8,5.8,25.8,52.6,0.2,26,26.6,65,317.6,7.2,203,1308542,81
0,0,3918,405,245,0.2,0.2,73824,101855,5.99,11.58,14.37,13.57,0.2,8.38,8.98,15.77,193.01,1.5,135,1002566,88
1,1,1529,78,67,0.2,0.2,26507,41825,0.4,0.4,0.4,0,0,2.2,2.2,13.03,38.68,1.3,335,1017246,97
10,1,6019,337,282,0.8,0.8,121389,385351,9.4,11.4,11.2,0,1,9,11.4,49.8,97.2,1,289,983114,80
1,0,1538,155,106,1,1.6,15336,20631,0.4,0.4,0.4,0,0,0.4,0.4,93.2,97.8,3,223,1118258,92
7,0,2622,154,118,6.6,17.2,109539,47095,0,0,0,0,0,8.2,9.2,244.4,461,1.6,473,1082902,75
1,0,1272,138,77,0.8,0.8,135403,29470,0,0,0,0,1.6,1.8,2.2,62.32,105.21,2.6,425,1057451,91
35,51,4707,870,741,2.6,1,649581,548667,0,0,0,0,0.2,4,6,144.6,244.4,1,741,1118274,80
38,1,7447,1700,584,7.4,5.2,721860,553232,7,67,122.8,271.8,0.4,14.2,81,352.4,582.6,7.2,146,1309923,68
34,16,2849,421,367,7.4,3.2,272508,59603,0,0,0,0,0,5,8,365.8,659.8,2.8,6234,1707322,77
39,45,2827,242,116,6.79,24.15,288688,30965,6.19,13.17,47.5,87.62,4.79,7.58,7.78,389.82,633.93,1.5,256,1031297,69
18,3,3341,357,278,0.8,2.4,209753,152282,2,3.6,3.8,2,1,17.4,29.6,63.6,113.6,3.4,198,1398704,89
33,21,2389,161,122,2,2.6,219788,28278,0,0,0,0,0,5.4,8.8,146.2,338,3,8577,1369232,88
1,1,4795,175,168,0.6,0.8,13037,346069,0,0,0,0,0,0.2,0.2,39.6,60,2,1024,1378904,90
26,5,1912,187,144,3,3.2,357583,165363,7.2,8.4,8.4,0,5,10.4,19.2,157,250.2,2.4,302,1536163,85
6,0,1063,66,48,1.4,1.4,156950,40098,0,0,0,0,0.2,1.6,2,290.42,166.07,1,739,1038885,91
4,1,4174,435,389,2.6,3,241550,220264,0.8,1.2,1.2,0,0.2,59.6,61.8,165.8,363.6,2.4,252,1130003,80
31,41,5305,225,177,0.2,0.2,58099,75714,0.8,2.6,20,34.8,0.4,10.8,39,21.2,97.8,2,371,1060971,86
10,4,1750,191,69,0.2,0.2,95403,9137,0,0,0,0,0,3.8,5,38,40.2,1.6,1086,1762445,89
7,0,2144,344,296,6.6,1.8,203939,12761,0,0,0,0,0,0,0,311.2,448.2,2.6,7276,1846826,85
4,1,1285,143,92,0.4,0.8,15502,36431,0,0,0,0,0,6.6,6.6,40.4,86.2,2.8,1582,1537486,93
90,83,3018,296,128,5.19,5.59,296804,31129,0.8,0.8,0.8,0,0.4,8.18,14.17,345.11,705.59,1,559,1085472,72
2,1,3358,282,126,0.2,0.2,808678,39710,0,0,0,0,0,8.6,12,17.2,68,3,360,1452310,91
10,0,2301,180,77,7.4,24.4,143010,16978,0,0,0,0,0.2,5.2,5.2,272.8,511.4,1.8,264,1089357,74
75,45,3882,199,97,11,35,125564,27633,0.2,0.4,0.4,0,0,21.2,29,349.4,701.4,1.8,262,1106469,62
4,0,1479,219,194,4,1.2,106304,8465,0,0,0,0,0,0,0,201.8,283.6,1,7349,1864163,88
55,74,3992,406,333,1.8,1.4,236911,225773,1.6,1.8,1.8,0,1,1,1.2,121,196,2.8,391,1123736,83
16,23,701,40,33,0.4,0.4,46977,41240,0,0,0,0,0,0,0,37.13,41.92,1.6,8402,1861517,96
0,0,382,57,14,0.2,0.2,347005,7518,0,0,0,0,0,0.2,0.4,16.63,17.84,1.2,972,1746730,97
19,25,179,10,23,0.2,0.2,2064,8280,0,0,0,0,0,0,0,15.6,16.8,1.2,7382,1874901,98
31,13,3597,687,374,0.8,1.2,171212,118051,0,0,0,0,0,6.99,13.17,106.19,100.4,4.6,432,1535051,84
13,2,5673,356,250,4.4,7.6,366128,176393,10.8,24,57.2,101.4,1.6,12.2,44.8,221.2,411.4,2,141,983581,77
0,0,771,25,26,0.2,0.2,15308,24778,0,0,0,0,0,3.2,5.4,15.6,17.6,1.2,613,1752872,97
19,7,2730,178,113,3,4.6,656621,547133,63.8,150,170.2,186.6,1.6,4.2,4.8,314.6,295.4,3,158,1528717,72
67,47,1880,369,144,2.4,3.2,558976,549673,0,0,0,0,0,0,0,150.8,233.2,771,87,13,0
0,0,248,16,29,0.6,0.4,800,7862,0,0,0,0,0,0,0,31.94,42.91,1.8,970,1757734,89
7,7,1243,218,79,0.4,0.4,1182330,23285,9.4,31.6,125,179,0.2,6.8,10.2,33.2,199.2,1,152,1171952,89
5,0,2014,171,95,4,3.6,127863,8310,0,0,0,0,0,0.6,0.8,219,332.8,2.2,1512,1747224,86
60,87,3116,167,147,0.4,3.19,47466,66573,9.38,17.17,23.35,19.16,1.6,0.6,0.6,16.37,52.1,1,168,983853,91
5,1,2048,148,187,0.6,2.2,153060,124675,0.6,1.2,1.2,0,2.2,1,1,71.6,78.6,3.2,300,1518179,85
9,0,5143,487,347,6.59,3.19,218950,79051,7.78,41.92,61.48,113.37,0,4.99,6.19,383.43,627.94,1,157,1114036,73
21,3,1400,154,77,0.4,0.8,313266,20451,11.2,21.8,21.8,0,8,13.4,24.2,85.6,123.4,2.4,443,1061789,89
6,5,1463,83,89,0.2,0.2,3034,53378,0.8,0.8,0.8,0,0.4,4.6,4.8,21.8,30.4,1,167,1128846,94
0,0,2046,77,103,0.2,0.2,3550,10601,0,0,0,0,0.2,0.2,0.2,15.6,16.8,2.2,699,1720400,94
13,0,2594,417,362,6.8,2.4,217746,24709,0,0,0,0,0,1,1,351,501,3,432,1742651,79
10,1,4871,522,431,1,1.8,708698,295910,8.58,54.69,62.87,47.11,0.8,12.97,40.72,89.42,150.9,1,261,1044677,83
4,0,2265,78,108,2.58,2.98,25262,18305,0,0,0,0,0,0.6,0.6,133.73,187.7,2.4,1134,1709394,92
0,0,2011,330,243,0.2,0.2,104281,33860,0,0,0,0,0.2,0.4,0.6,18.4,27.2,2.2,2976,1736637,90
9,8,1608,173,148,0.4,0.4,422098,192255,12.02,37.88,68.14,85.37,0,17.64,31.66,33.47,86.77,1,146,1084374,87
1,0,443,83,49,1,3.6,522666,155858,0,0,0,0,74.2,0,0,46.2,63.2,2.4,1382,1762197,93
11,7,683,44,53,2.8,2.8,80340,144685,0,0,0,0,0,3.6,4.8,228.4,262.6,1.8,5247,1842926,88
5,0,1021,119,57,0.4,0.4,200195,15184,4.4,11.2,16.8,18.6,8.4,15.6,28.8,27.2,98.8,3.8,139,1732986,83
1,0,2126,120,72,0.2,0.2,18017,55400,0,0,0,0,0,0,0,15.4,16.8,2,3258,1657448,98
0,0,139,13,12,0.2,0.2,979,5195,3.8,3.8,3.8,0,0.2,0,0,15.6,16.8,1,321,1755848,98
9,2,1532,179,143,7.2,5.4,419570,11651,0,0,0,0,0,0.8,1.2,289,476.6,2,3216,1846592,85
171,22,2935,235,275,0.2,0.2,90618,314006,11.4,50.8,58.2,38.4,0,2.8,2.8,15.8,42.4,2.8,187,1329400,92
42,57,3647,435,185,2.8,3.8,75594,54490,0.8,0.8,0.8,0,0.4,9.8,9.8,190.4,428,1,424,1124478,77
0,0,384,106,78,0.2,0.2,373825,348459,0,0,0,0,0,0,0,15.6,16.8,2.4,1321,1762056,96
6,2,772,84,83,2.59,2.99,287951,221075,0,0,0,0,0,21.56,42.51,212.18,223.75,1.4,6621,1848714,83
3,0,2393,99,206,0.8,2.4,174982,229702,3.6,32.2,92,194.8,0,23.4,42.8,36.6,65.6,1.6,147,1053766,85
4,2,1797,147,116,0.2,0.2,6141,39596,3.99,5.19,4.79,0,0.8,0.8,0.8,26.95,37.33,1,204,1055489,94
4,0,2075,254,204,3.4,1,110184,69205,7.8,22.4,59.6,96.2,1.6,82,82.4,164.6,374,1.4,130,1106848,87
0,0,246,41,15,0.2,0.2,172229,42402,0,0,0,0,0,0,0,15.63,16.83,1.4,7071,1858535,98
1,1,1826,214,195,0.6,0.6,24066,37270,0.6,5.4,7.8,8.2,0.2,3.2,4,55,67.8,1.3,138,1102162,92
71,80,1052,221,157,0.4,0.4,145004,48770,1.4,1.6,3.8,3.8,3.6,10.4,15.4,36.6,120.4,896,89,11,0
1,0,1338,77,75,0.6,3.4,86591,15400,0,0,0,0,0,0.2,0.2,23.2,30.8,2.2,3308,1709498,98
2,1,637,102,95,0.4,0.2,37606,49019,0,0,0,0,0.2,17.8,17.8,19.2,61.8,1.5,391,1092827,96
74,49,2688,176,103,11,32.2,57714,38484,0.8,1,1,0,0,0.8,0.8,343.2,649.4,7,314,1096333,69
29,40,1906,118,90,0.8,2,8175,27313,0,0,0,0,0,0.8,0.8,56.2,78.6,3.6,166,1107088,88
4,0,418,30,29,0.8,1,3959,10679,0,0,0,0,0,0.2,0.2,61,73.2,2.4,6355,1702592,96
62,77,3806,258,166,1.4,1.4,492142,268706,4.8,19.4,44,79.2,2.2,7.6,12.2,68,218.8,5.2,256,1314590,85
5,1,1692,132,87,0.4,1.8,220194,107031,0,0,0,0,0,3.81,4.01,23.65,42.08,2.2,2291,1010703,92
7,5,1341,240,120,0.4,0.6,718437,672290,0,0,0,0,0,7.6,15,42.8,52.8,4.8,2532,1037078,90
1,0,3322,271,170,1,3.2,399277,128680,0,0,0,0,0,6.4,9.2,32.8,93.6,1,579,1120168,86
9,3,1626,106,100,1.2,1.2,261018,111663,0,0,0,0,0.2,10.2,10.2,72.6,134,1,615,1073621,87
2,1,5402,406,274,0.2,0.2,22609,155154,2.2,3.6,6.6,8,0.4,7.4,7.4,33,54.2,2.5,152,1015040,84
6,2,2040,121,112,0.6,0.6,38688,60507,0,0,0,0,0,11.58,14.57,43.91,74.85,1,1201,1111232,92
172,113,1427,171,134,0.6,3.39,261636,103649,0,0,0,0,0.8,4.99,5.39,62.28,152.1,744,92,8,0
24,32,419,41,27,2,2,91694,34919,0,0,0,0,0,2.2,3.4,181.2,160.4,1.2,3733,1819309,83
67,90,1850,131,61,1.2,2.2,40316,23559,0,0,0,0,0,3.2,5.2,78.6,116.8,1.3,694,1020261,90
15,5,1795,343,209,1,1,91247,93705,4.2,24.2,74.8,145.2,1.6,11.2,18.4,69.6,119.8,2,112,1527192,88
4,0,1969,209,200,2.4,0.8,131479,48942,0,0,0,0,0.2,0.8,1.4,125.05,179.36,1.3,1126,1053153,89
10,4,3734,212,168,1.2,1,197813,112160,0,0,0,0,5.99,17.37,19.56,106.99,142.12,2,1446,1110237,87
11,6,4515,185,165,3.79,4.99,85634,65019,0,0,0,0,0,0.4,0.6,276.25,316.17,4.4,890,1537031,76
0,0,408,62,45,0.2,0.2,1635,17161,0,0,0,0,0,0,0,15.6,16.8,3,626,1711344,98
13,8,4349,300,191,2.8,3,96009,70467,0,0,0,0,0,2.8,3.2,129,236.8,2.2,772,993909,83
622,543,5572,480,297,1.2,3.8,166930,128473,0,0,0,0,0,12.2,14.6,73.8,197.6,3,527,1061819,73
2,1,253,22,24,0.8,0.8,34552,22677,0,0,0,0,0,2.2,4.4,56.4,63.6,1.2,7091,1846198,96
22,15,4679,409,258,2.4,3.2,542748,293954,0,0,0,0,0,8.2,13.6,145,241,3.8,876,1343698,82
5,3,3786,167,149,1.2,1.2,172744,161033,0,0,0,0,1.8,4.6,4.6,105.2,171,1,700,986394,87
2,1,986,73,54,0.2,0.2,5562,23881,0.6,0.6,0.6,0,0.4,2.6,2.6,12.8,43.8,2.3,217,1013784,96
0,0,255,32,32,0.2,0.2,1430,7410,0,0,0,0,0,0,0,15.6,16.8,1.6,1196,1767021,91
40,11,3402,283,202,2.8,4.2,225184,28672,0,0,0,0,0,1.2,3.4,157.4,279.2,1,1025,1092723,86
14,4,1575,358,236,2.2,1.8,468846,173574,2.4,2.8,2.4,0,0.8,5.4,8.4,143,268,1,362,1070280,88
7,1,2319,207,94,0.6,1.2,1132227,33317,31.4,99.6,270.2,584.4,1.2,114.6,244.6,60.4,157.2,2.8,98,984424,76
1,0,1372,66,41,0.2,0.2,17950,17530,0,0,0,0,0,0.2,0.4,66.2,30,1.4,986,1066130,94
33,43,1613,161,110,0.2,0.2,11850,28651,2,2.8,2.4,0,1.4,4,4.8,18.2,120.4,1,253,1021384,92
9,1,3326,383,177,6.2,19.2,34844,28865,6,26.6,31.8,46.8,0.4,9,10.8,214.6,442,1.5,188,1103072,76
2,1,174,11,24,0.2,0.2,10271,8797,0,0,0,0,0,0,0,15.6,16.8,1,6442,1871299,99
2,0,534,75,53,2.2,2.2,57506,28455,0.4,0.4,0.4,0,0,0.8,0.8,170.6,157.6,1.2,359,1813328,85
31,38,1145,143,124,3.19,1,81774,6003,0,0,0,0,0,0,0,160.08,226.35,1.6,7313,1860552,92
8,0,2956,409,371,3.6,3,254532,197621,0,0,0,0,0,0.6,1,176.6,240,2.8,5037,1672027,86
11,4,3794,340,304,4,2.2,174498,141499,0.6,1,0.8,0,2.4,26.4,26.8,192,427.4,1.2,466,1079363,80
2,2,1424,133,101,0.2,0.2,210413,16994,0,0,0,0,0,2,3.2,16.2,28.8,2,342,979099,95
1,0,958,117,45,0.6,0.6,215753,27639,0,0,0,0,0,2.8,5.6,39.8,43.4,2,6280,1845344,96
1,1,857,90,44,0.2,0.2,46735,82746,0,0,0,0,0,0,0,15.54,16.73,1,6709,1818845,96
40,54,844,28,33,0.2,0.2,817,11451,0,0,0,0,0,0,0,15.6,16.8,2,4707,1727696,96
0,0,222,30,22,0.2,0.2,84896,5119,0,0,0,0,0,0,0,22.36,17.17,1.6,7302,1860350,97
4,0,2921,248,205,3.8,1.4,140416,21712,3,5,5,0,0.4,1,1.4,208.8,328.6,3,177,1437750,86
6,4,2573,189,118,0.6,0.6,107287,30575,0,0,0,0,0,11.4,13,31.4,173.4,1.4,1107,975696,90
16,14,2131,116,84,0.8,1.2,26886,41641,0,0,0,0,0.2,18,18.2,140.6,132.6,3,793,990656,90
9,2,3750,280,226,1.2,4,194798,362338,4.4,8.4,11.8,21.4,3.8,7,26.2,83.6,188.6,2.8,402,984866,79
37,4,3499,388,117,4.19,5.99,288035,14367,0,0,0,0,0,19.76,34.93,289.62,526.95,4.2,766,1305325,80
60,71,2647,289,300,1,3.2,32797,37359,0,0,0,0,0,17.2,17.4,58,100.6,1,505,1101470,88
68,77,2774,217,152,3.61,6.21,180351,57275,1.8,3.81,3.81,0,1.2,4.61,8.22,236.07,415.83,2.7,324,1055946,82
3,0,583,53,68,2.6,3.2,62950,258017,34,62.6,60.6,0,0.4,2.4,2.8,207.6,204.8,1.8,270,1807019,81
132,105,2007,177,139,0.4,0.4,95309,82017,0,0,0,0,0,1.2,1.2,35.2,56.6,1,794,1008800,91
10,6,3249,555,526,2.39,4.38,469560,380797,0,0,0,0,0,0.8,0.8,121.31,181.08,1.4,870,1126010,81
4,0,4562,201,149,0.2,0.2,61399,41637,0,0,0,0,0,5,48.6,16,27.2,2.8,1076,1770294,82
1,0,2361,286,183,0.2,0.2,154222,94948,8.78,18.96,52.5,87.03,0.8,2.99,4.99,17.56,132.93,1.5,132,993843,87
4,2,2421,581,170,2.2,3.79,1029143,278592,4.99,22.36,48.7,120.96,0.4,2,2.4,324.75,215.77,1.3,163,1111235,80
3,1,2072,262,241,1.4,1.4,330763,387350,2,12.2,34.6,77,6.8,10,14.4,122,155.8,2.6,137,1374699,87
7,2,4133,222,154,1.4,1.4,15783,9833,0,0,0,0,0,1.6,1.8,83,139,2.8,1297,1523251,85
7,2,1305,89,108,0.6,2.2,121604,89237,0,0,0,0,0,0.6,0.8,87,66,1,482,1065374,95
1,0,4748,256,168,0.8,3,11643,46726,0,0,0,0,0,2.8,2.8,32.2,70.8,1.3,726,1116712,86
33,28,5504,439,253,3.4,4.2,395654,70646,9.4,24,29.6,126.8,4.2,6.4,9.8,220.8,424.4,2,204,1134814,72
5,2,3841,194,189,0.8,1.99,12984,96970,0,0,0,0,0,2.98,4.97,44.93,93.44,2,436,1064942,87
6,4,1932,66,85,1,0.8,67203,79964,13.6,23,27.8,18.8,6.2,11.8,13.6,91.8,147.8,3.5,165,1128728,90
15,10,3781,346,168,2.4,3.21,307016,76305,3.81,4.21,8.62,18.44,5.21,1.4,1.4,154.91,296.99,5.2,155,1004704,85
18,11,4068,280,140,3,4.6,320517,55276,0,0,0,0,5.8,9.2,32.4,264.4,381.6,1,489,1014958,81
45,0,3575,217,131,11.6,35,197409,41178,6,20.4,41.2,70.6,0,15.4,28.2,378.4,740.2,2.2,135,1091397,63
21,20,1949,232,153,0.2,0.2,17171,29878,6.2,12.2,12.2,0,0,1.2,1.2,24.6,28.8,1,508,1070658,91
36,55,4085,156,137,0.2,0.2,8149,6247,0,0,0,0,0,1.8,1.8,16,45.8,2.2,794,1447821,94
0,0,367,62,43,0.4,0.6,38562,12342,0,0,0,0,0,1.6,2.4,30.6,41,1.2,710,1753534,96
53,71,4201,461,384,4.2,2.8,185684,64437,5.8,10.2,10.2,0,0.4,7.2,7.8,214.4,361,1.6,240,984506,72
1,1,600,158,41,0.6,1,476298,133721,0,0,0,0,0,3.6,3.6,51.2,68.2,3,6006,1835992,91
15,15,419,189,62,0.2,0.2,322341,310319,0,0,0,0,0,0,0,15.6,17,2.4,5333,1825789,97
2,1,542,89,65,0.4,0.4,2453,16876,0,0,0,0,0,0,0,29.4,40.6,2.2,667,1721728,96
17,2,2614,208,113,0.6,1.8,560315,22349,0,0,0,0,0,2.59,3.19,54.29,160.08,1.8,608,1103864,87
0,0,1977,256,133,0.6,2.61,225802,37213,1.2,2,2,0,2.81,6.61,8.22,46.49,113.63,2.2,299,1105616,91
24,7,1248,173,105,0.8,2.59,308625,114117,20.36,31.54,45.71,30.14,8.98,23.95,33.13,76.85,254.29,181,87,13,0
8,6,1572,121,123,0.4,0.4,25373,68247,2.79,4.59,4.39,0,0.2,12.18,13.57,30.74,82.04,4.8,360,1101980,93
20,2,3229,197,115,4.8,5.2,270106,85338,0,0,0,0,0,0.2,0.2,253.8,443.8,3.8,1491,1547806,83
14,12,4004,225,142,0.4,0.4,149008,89163,3.8,7.4,7.2,0,0.4,10.6,13,29.8,70.2,4.6,218,1337400,89
29,6,2375,146,123,2,3.19,109539,39984,0,0,0,0,0,8.98,9.98,116.57,226.75,1,663,1018837,89
35,51,4033,193,155,0.2,0.2,53695,33261,0,0,0,0,0,10.02,17.84,15.83,83.17,1.5,1038,1081435,89
12,0,4951,579,495,9.4,4.4,329231,42171,0,0,0,0,0,0.4,0.4,462.2,711,2.2,984,1056850,69
0,0,802,28,31,0.2,0.2,4235,54696,0,0,0,0,0,0,0,15.4,16.8,1,6799,1853384,98
0,0,1369,245,109,0.2,0.2,27830,389081,0,0,0,0,0,0,0,15.6,19.4,2.2,5713,1817542,93
2,1,2675,143,94,0.2,0.2,304215,19274,0,0,0,0,0,2,3.8,106,22.4,3,690,1757880,81
37,37,3127,266,193,0.6,1.8,21713,134601,0,0,0,0,0.2,1,1.4,39.4,93.2,2.8,360,1025109,91
0,0,2611,286,167,0.2,0.2,82615,83485,0,0,0,0,0.2,0.2,0.2,16,21.8,5.2,3047,1601744,92
33,42,2995,183,140,0.4,0.4,41711,69821,0,0,0,0,0.2,0.2,0.2,31.4,60.4,1,598,1077210,88
5,3,842,52,30,1,1.2,118262,20988,0,0,0,0,0,0.4,0.4,87.8,111.6,1.4,6699,1840197,93
8,0,1803,367,300,0.2,0.2,516137,229603,5.61,41.88,118.04,216.23,3.01,43.09,88.78,14.23,94.99,1.2,130,1044431,89
2,0,2040,230,91,0.2,0.2,65806,28087,0,0,0,0,0.4,19.16,24.15,14.77,79.64,3.4,3917,1715626,94
37,20,4736,409,305,4.39,2.2,186131,124064,0,0,0,0,0,2.59,2.79,269.06,392.81,3.6,3551,1544251,81
10,1,3851,489,415,7.8,2.2,371419,94611,0,0,0,0,0,0,0,389,553.4,2,8226,1835470,72
6,3,1480,84,80,0.4,0.8,3808,46665,0,0,0,0,0,2.4,3.01,47.49,86.37,502,94,6,0
13,11,1092,85,46,0.6,3,23660,15429,0,0,0,0,0,0.4,0.8,35.6,42.6,2.2,4908,1673408,95
22,8,6630,202,115,3.8,9.4,279697,9693,0,0,0,0,0,10.4,10.8,261.2,363.6,5.8,821,1529410,73
0,0,1431,44,55,0.2,0.2,12448,19666,0,0,0,0,0,1,1.2,13.2,16.8,1,566,1752792,97
10,9,1339,81,74,1,0.6,13140,25936,1.2,1.2,1.2,0,0.4,6.2,6.4,48,95.4,1.8,150,1059384,94
39,56,1053,41,40,0.2,0.2,4447,14290,0,0,0,0,0,0.6,0.6,16.23,32.67,372,95,5,0
13,9,1946,223,174,3.79,10.98,526411,33407,8.78,56.49,132.53,226.55,0.4,75.65,130.74,131.94,261.28,1.5,119,1103984,79
28,36,2862,193,101,3.8,4.2,217700,62552,0,0,0,0,0,1.2,1.2,219.6,331.4,2.4,390,1767661,79
7,0,5339,364,240,1.4,1.4,671122,426880,0,0,0,0,0.2,13.6,26.4,121,189.8,6.2,1256,1337077,80
1,0,2967,188,134,0.6,0.6,155568,54454,0,0,0,0,0,8,11.8,40.8,84.2,3.8,802,1064942,88
27,37,882,92,71,0.4,0.4,38612,31518,2.99,5.59,8.78,15.97,0,10.38,11.58,31.54,66.47,1,148,1011275,94
5,2,2561,198,169,3,1,129015,29495,3,3,2.6,0,0.8,0.6,1.2,140.2,208.6,1.6,230,1750422,90
1,1,1693,143,147,0.2,0.2,20310,27719,0,0,0,0,0,2.2,4,16.2,25.6,1.5,521,1066154,95
12,8,775,71,37,3.8,4.2,125517,40041,0,0,0,0,0,4.2,6,309.4,331,1.4,2613,1794333,79
50,62,2562,239,181,1,3,171071,86083,0,0,0,0,0,0.6,1,101.2,159.4,4,2551,1537406,86
44,56,3665,275,231,1.6,0.8,227554,39676,0,0,0,0,0,2.4,2.4,172.85,163.27,1.2,2016,966448,82
12,5,5935,356,199,1.4,0.8,173332,74812,0.6,0.6,0.6,0,0,4.2,6.2,79.6,138,5.2,315,1296418,78
9,6,1538,145,100,0.2,0.2,240721,48736,0.6,0.6,0.8,0.2,0.2,7.8,10,27.8,33.4,355,93,7,0
0,0,1006,44,41,0.6,0.8,3325,8798,0,0,0,0,0,0.2,0.4,34.4,45.8,1,1377,1746506,97
4,0,2148,108,77,2.6,8,130916,26669,2.4,3.6,3.6,0,2.2,2,2.4,129,214.8,2.4,267,1751203,91
9,1,3357,149,145,1,1.2,122904,40944,0,0,0,0,0,6.19,6.59,62.67,104.79,5.2,3092,1538472,89
1,0,1132,32,30,0.2,0.2,5381,22916,1.4,1.4,1.4,0,0,0.6,0.8,16.6,18.8,3.2,172,1714160,96
24,31,489,61,133,0.2,0.2,38044,33334,0,0,0,0,0.2,0.8,0.8,17.2,24.6,2.2,1099,1717939,96
10,9,1548,137,95,0.6,0.6,30463,36164,0,0,0,0,0,3.41,3.81,51.5,129.66,2,676,980412,90
14,2,3735,239,226,3,1.4,159807,115748,0,0,0,0,0,9.8,18.6,144.6,232.4,3.8,3534,1551085,86
0,0,615,40,24,0.2,0.2,17074,9089,0,0,0,0,0,0.6,1,15.6,17,2,4592,1731704,98
0,0,770,204,56,0.2,0.2,1299349,304151,0,0,0,0,0,2,3.2,15.4,23.2,3.2,3516,1810597,88
10,6,2698,154,95,0.6,2,41837,23966,0.8,0.8,0.8,0,0.4,3,6,56.2,68.6,2.8,313,1111091,91
81,111,1175,112,75,0.2,0.2,18837,37417,4.4,6.6,6.6,0.8,1.8,1.2,1.2,18.4,82.8,240,89,11,0
10,0,4261,527,266,1.8,3,330811,87989,0,0,0,0,0,11.8,16.8,190.2,323.2,6.2,2497,1338315,83
3,1,714,34,15,2.61,2.81,70079,17335,0,0,0,0,0,2,3.41,206.21,210.22,1,11420,1884933,90
36,47,387,40,42,0.8,0.6,2166,11034,0,0,0,0,0,0.8,0.8,34.8,45,3,1551,1718331,95
22,13,2865,177,161,1.6,5,119291,193151,0,0,0,0,0,4.8,8,107,178.8,4,536,1642779,85
